label,family,kind,d,bf,tw,tf,fillet,b,t,ht,B,wall,od,radius
W30X90,W,IShape,29.5,10.4,0.47,0.61,0.65,,,,,,,
W27X539,W,IShape,32.5,15.3,1.97,3.54,0.79,,,,,,,
W27X368,W,IShape,30.4,14.7,1.38,2.48,0.79,,,,,,,
W27X336,W,IShape,30.0,14.6,1.26,2.28,0.79,,,,,,,
W27X307,W,IShape,29.6,14.4,1.16,2.09,0.79,,,,,,,
W27X281,W,IShape,29.3,14.4,1.06,1.93,0.79,,,,,,,
W27X258,W,IShape,29.0,14.3,0.98,1.77,0.79,,,,,,,
W27X235,W,IShape,28.7,14.2,0.91,1.61,0.79,,,,,,,
W27X217,W,IShape,28.4,14.1,0.83,1.5,0.79,,,,,,,
W27X194,W,IShape,28.1,14.0,0.75,1.34,0.79,,,,,,,
W27X178,W,IShape,27.8,14.1,0.725,1.19,0.79,,,,,,,
W27X161,W,IShape,27.6,14.0,0.66,1.08,0.79,,,,,,,
W27X146,W,IShape,27.4,14.0,0.605,0.975,0.785,,,,,,,
W27X129,W,IShape,27.6,10.0,0.61,1.1,0.6,,,,,,,
W27X114,W,IShape,27.3,10.1,0.57,0.93,0.6,,,,,,,
W27X102,W,IShape,27.1,10.0,0.515,0.83,0.6,,,,,,,
W27X94,W,IShape,26.9,10.0,0.49,0.745,0.595,,,,,,,
W27X84,W,IShape,26.7,10.0,0.46,0.64,0.6,,,,,,,
W24X370,W,IShape,28.0,13.7,1.52,2.72,0.5,,,,,,,
W24X335,W,IShape,27.5,13.5,1.38,2.48,0.5,,,,,,,
W24X306,W,IShape,27.1,13.4,1.26,2.28,0.5,,,,,,,
W24X279,W,IShape,26.7,13.3,1.16,2.09,0.5,,,,,,,
W24X250,W,IShape,26.3,13.2,1.04,1.89,0.5,,,,,,,
W24X229,W,IShape,26.0,13.1,0.96,1.73,0.5,,,,,,,
W24X207,W,IShape,25.7,13.0,0.87,1.57,0.5,,,,,,,
W24X192,W,IShape,25.5,13.0,0.81,1.46,0.5,,,,,,,
W24X176,W,IShape,25.2,12.9,0.75,1.34,0.5,,,,,,,
W24X162,W,IShape,25.0,13.0,0.705,1.22,0.5,,,,,,,
W24X146,W,IShape,24.7,12.9,0.65,1.09,0.5,,,,,,,
W24X131,W,IShape,24.5,12.9,0.605,0.96,0.5,,,,,,,
W24X117,W,IShape,24.3,12.8,0.55,0.85,0.5,,,,,,,
W24X104,W,IShape,24.1,12.8,0.5,0.75,0.5,,,,,,,
W24X103,W,IShape,24.5,9.0,0.55,0.98,0.5,,,,,,,
W24X94,W,IShape,24.3,9.07,0.515,0.875,0.505,,,,,,,
W24X84,W,IShape,24.1,9.02,0.47,0.77,0.5,,,,,,,
W24X76,W,IShape,23.9,8.99,0.44,0.68,0.5,,,,,,,
W24X68,W,IShape,23.7,8.97,0.415,0.585,0.505,,,,,,,
W24X62,W,IShape,23.7,7.04,0.43,0.59,0.5,,,,,,,
W24X55,W,IShape,23.6,7.01,0.395,0.505,0.505,,,,,,,
W21X275,W,IShape,24.1,12.9,1.22,2.19,1.18,,,,,,,
W21X248,W,IShape,23.7,12.8,1.1,1.99,1.18,,,,,,,
W21X223,W,IShape,23.4,12.7,1.0,1.79,1.18,,,,,,,
W21X201,W,IShape,23.0,12.6,0.91,1.63,0.5,,,,,,,
W21X182,W,IShape,22.7,12.5,0.83,1.48,0.5,,,,,,,
W21X166,W,IShape,22.5,12.4,0.75,1.36,0.5,,,,,,,
W21X147,W,IShape,22.1,12.5,0.72,1.15,0.5,,,,,,,
W21X132,W,IShape,21.8,12.4,0.65,1.04,0.5,,,,,,,
W21X122,W,IShape,21.7,12.4,0.6,0.96,0.5,,,,,,,
W21X111,W,IShape,21.5,12.3,0.55,0.875,0.505,,,,,,,
W21X101,W,IShape,21.4,12.3,0.5,0.8,0.5,,,,,,,
W21X93,W,IShape,21.6,8.42,0.58,0.93,0.5,,,,,,,
W21X83,W,IShape,21.4,8.36,0.515,0.835,0.505,,,,,,,
W21X73,W,IShape,21.2,8.3,0.455,0.74,0.5,,,,,,,
W21X68,W,IShape,21.1,8.27,0.43,0.685,0.505,,,,,,,
W21X62,W,IShape,21.0,8.24,0.4,0.615,0.505,,,,,,,
W21X55,W,IShape,20.8,8.22,0.375,0.522,0.498,,,,,,,
W21X48,W,IShape,20.6,8.14,0.35,0.43,0.5,,,,,,,
W21X57,W,IShape,21.1,6.56,0.405,0.65,0.5,,,,,,,
W21X50,W,IShape,20.8,6.53,0.38,0.535,0.505,,,,,,,
W21X44,W,IShape,20.7,6.5,0.35,0.45,0.5,,,,,,,
W18X311,W,IShape,22.3,12.0,1.52,2.74,0.5,,,,,,,
W18X283,W,IShape,21.9,11.9,1.4,2.5,0.5,,,,,,,
W18X258,W,IShape,21.5,11.8,1.28,2.3,0.4,,,,,,,
W18X234,W,IShape,21.1,11.7,1.16,2.11,0.4,,,,,,,
W18X211,W,IShape,20.7,11.6,1.06,1.91,0.4,,,,,,,
W18X192,W,IShape,20.4,11.5,0.96,1.75,0.4,,,,,,,
W18X175,W,IShape,20.0,11.4,0.89,1.59,0.4,,,,,,,
W18X158,W,IShape,19.7,11.3,0.81,1.44,0.4,,,,,,,
W18X143,W,IShape,19.5,11.2,0.73,1.32,0.4,,,,,,,
W18X130,W,IShape,19.3,11.2,0.67,1.2,0.4,,,,,,,
W18X119,W,IShape,19.0,11.3,0.655,1.06,0.4,,,,,,,
W18X106,W,IShape,18.7,11.2,0.59,0.94,0.4,,,,,,,
W18X97,W,IShape,18.6,11.1,0.535,0.87,0.4,,,,,,,
W18X86,W,IShape,18.4,11.1,0.48,0.77,0.4,,,,,,,
W18X76,W,IShape,18.2,11.0,0.425,0.68,0.4,,,,,,,
W18X71,W,IShape,18.5,7.64,0.495,0.81,0.4,,,,,,,
W18X65,W,IShape,18.4,7.59,0.45,0.75,0.4,,,,,,,
W18X60,W,IShape,18.2,7.56,0.415,0.695,0.405,,,,,,,
W18X55,W,IShape,18.1,7.53,0.39,0.63,0.4,,,,,,,
W18X50,W,IShape,18.0,7.5,0.355,0.57,0.402,,,,,,,
W18X46,W,IShape,18.1,6.06,0.36,0.605,0.405,,,,,,,
W18X40,W,IShape,17.9,6.02,0.315,0.525,0.402,,,,,,,
W18X35,W,IShape,17.7,6.0,0.3,0.425,0.402,,,,,,,
W16X100,W,IShape,17.0,10.4,0.585,0.985,0.405,,,,,,,
W16X89,W,IShape,16.8,10.4,0.525,0.875,0.405,,,,,,,
W16X77,W,IShape,16.5,10.3,0.455,0.76,0.4,,,,,,,
W16X67,W,IShape,16.3,10.2,0.395,0.665,0.405,,,,,,,
W16X57,W,IShape,16.4,7.12,0.43,0.715,0.405,,,,,,,
W16X50,W,IShape,16.3,7.07,0.38,0.63,0.4,,,,,,,
W16X45,W,IShape,16.1,7.04,0.345,0.565,0.402,,,,,,,
W16X40,W,IShape,16.0,7.0,0.305,0.505,0.402,,,,,,,
W16X36,W,IShape,15.9,6.99,0.295,0.43,0.402,,,,,,,
W16X31,W,IShape,15.9,5.53,0.275,0.44,0.402,,,,,,,
W16X26,W,IShape,15.7,5.5,0.25,0.345,0.402,,,,,,,
W14X873,W,IShape,23.6,18.8,3.94,5.51,0.59,,,,,,,
W14X808,W,IShape,22.8,18.6,3.74,5.12,0.59,,,,,,,
W14X730,W,IShape,22.4,17.9,3.07,4.91,0.6,,,,,,,
W14X665,W,IShape,21.6,17.7,2.83,4.52,0.6,,,,,,,
W14X605,W,IShape,20.9,17.4,2.6,4.16,0.6,,,,,,,
W14X550,W,IShape,20.2,17.2,2.38,3.82,0.6,,,,,,,
W14X500,W,IShape,19.6,17.0,2.19,3.5,0.6,,,,,,,
W14X455,W,IShape,19.0,16.8,2.02,3.21,0.6,,,,,,,
W14X426,W,IShape,18.7,16.7,1.88,3.04,0.59,,,,,,,
W14X398,W,IShape,18.3,16.6,1.77,2.85,0.59,,,,,,,
W14X370,W,IShape,17.9,16.5,1.66,2.66,0.6,,,,,,,
W14X342,W,IShape,17.5,16.4,1.54,2.47,0.6,,,,,,,
W14X311,W,IShape,17.1,16.2,1.41,2.26,0.6,,,,,,,
W14X283,W,IShape,16.7,16.1,1.29,2.07,0.6,,,,,,,
W14X257,W,IShape,16.4,16.0,1.18,1.89,0.6,,,,,,,
W14X233,W,IShape,16.0,15.9,1.07,1.72,0.6,,,,,,,
W14X211,W,IShape,15.7,15.8,0.98,1.56,0.6,,,,,,,
W14X193,W,IShape,15.5,15.7,0.89,1.44,0.6,,,,,,,
W14X176,W,IShape,15.2,15.7,0.83,1.31,0.6,,,,,,,
W14X159,W,IShape,15.0,15.6,0.745,1.19,0.6,,,,,,,
W14X145,W,IShape,14.8,15.5,0.68,1.09,0.6,,,,,,,
W14X132,W,IShape,14.7,14.7,0.645,1.03,0.6,,,,,,,
W14X120,W,IShape,14.5,14.7,0.59,0.94,0.6,,,,,,,
W14X109,W,IShape,14.3,14.6,0.525,0.86,0.6,,,,,,,
W14X99,W,IShape,14.2,14.6,0.485,0.78,0.6,,,,,,,
W14X90,W,IShape,14.0,14.5,0.44,0.71,0.6,,,,,,,
W14X82,W,IShape,14.3,10.1,0.51,0.855,0.595,,,,,,,
W14X74,W,IShape,14.2,10.1,0.45,0.785,0.595,,,,,,,
W14X68,W,IShape,14.0,10.0,0.415,0.72,0.59,,,,,,,
W14X61,W,IShape,13.9,10.0,0.375,0.645,0.595,,,,,,,
W14X53,W,IShape,13.9,8.06,0.37,0.66,0.59,,,,,,,
W14X48,W,IShape,13.8,8.03,0.34,0.595,0.595,,,,,,,
W14X43,W,IShape,13.7,8.0,0.305,0.53,0.59,,,,,,,
W14X38,W,IShape,14.1,6.77,0.31,0.515,0.4,,,,,,,
W14X34,W,IShape,14.0,6.75,0.285,0.455,0.4,,,,,,,
W14X30,W,IShape,13.8,6.73,0.27,0.385,0.4,,,,,,,
W14X26,W,IShape,13.9,5.03,0.255,0.42,0.4,,,,,,,
W14X22,W,IShape,13.7,5.0,0.23,0.335,0.4,,,,,,,
W12X336,W,IShape,16.8,13.4,1.78,2.96,0.59,,,,,,,
W12X305,W,IShape,16.3,13.2,1.63,2.71,0.59,,,,,,,
W12X279,W,IShape,15.9,13.1,1.53,2.47,0.6,,,,,,,
W12X252,W,IShape,15.4,13.0,1.4,2.25,0.6,,,,,,,
W12X230,W,IShape,15.1,12.9,1.29,2.07,0.6,,,,,,,
W12X210,W,IShape,14.7,12.8,1.18,1.9,0.6,,,,,,,
W12X190,W,IShape,14.4,12.7,1.06,1.74,0.59,,,,,,,
W12X170,W,IShape,14.0,12.6,0.96,1.56,0.6,,,,,,,
W12X152,W,IShape,13.7,12.5,0.87,1.4,0.6,,,,,,,
W12X136,W,IShape,13.4,12.4,0.79,1.25,0.6,,,,,,,
W12X120,W,IShape,13.1,12.3,0.71,1.11,0.59,,,,,,,
W12X106,W,IShape,12.9,12.2,0.61,0.99,0.6,,,,,,,
W12X96,W,IShape,12.7,12.2,0.55,0.9,0.6,,,,,,,
W12X87,W,IShape,12.5,12.1,0.515,0.81,0.6,,,,,,,
W12X79,W,IShape,12.4,12.1,0.47,0.735,0.595,,,,,,,
W12X72,W,IShape,12.3,12.0,0.43,0.67,0.6,,,,,,,
W12X65,W,IShape,12.1,12.0,0.39,0.605,0.595,,,,,,,
W12X58,W,IShape,12.2,10.0,0.36,0.64,0.6,,,,,,,
W12X53,W,IShape,12.1,10.0,0.345,0.575,0.605,,,,,,,
W12X50,W,IShape,12.2,8.08,0.37,0.64,0.5,,,,,,,
W12X45,W,IShape,12.1,8.05,0.335,0.575,0.505,,,,,,,
W12X40,W,IShape,11.9,8.01,0.295,0.515,0.505,,,,,,,
W12X35,W,IShape,12.5,6.56,0.3,0.52,0.3,,,,,,,
W12X30,W,IShape,12.3,6.52,0.26,0.44,0.3,,,,,,,
W12X26,W,IShape,12.2,6.49,0.23,0.38,0.3,,,,,,,
W12X22,W,IShape,12.3,4.03,0.26,0.425,0.3,,,,,,,
W12X19,W,IShape,12.2,4.01,0.235,0.35,0.3,,,,,,,
W12X16,W,IShape,12.0,3.99,0.22,0.265,0.3,,,,,,,
W12X14,W,IShape,11.9,3.97,0.2,0.225,0.3,,,,,,,
W10X112,W,IShape,11.4,10.4,0.755,1.25,0.5,,,,,,,
W10X100,W,IShape,11.1,10.3,0.68,1.12,0.5,,,,,,,
W10X88,W,IShape,10.8,10.3,0.605,0.99,0.5,,,,,,,
W10X77,W,IShape,10.6,10.2,0.53,0.87,0.5,,,,,,,
W10X68,W,IShape,10.4,10.1,0.47,0.77,0.5,,,,,,,
W10X60,W,IShape,10.2,10.1,0.42,0.68,0.5,,,,,,,
W10X54,W,IShape,10.1,10.0,0.37,0.615,0.505,,,,,,,
W10X49,W,IShape,10.0,10.0,0.34,0.56,0.5,,,,,,,
W10X45,W,IShape,10.1,8.02,0.35,0.62,0.5,,,,,,,
W10X39,W,IShape,9.92,7.99,0.315,0.53,0.5,,,,,,,
W10X33,W,IShape,9.73,7.96,0.29,0.435,0.5,,,,,,,
W10X30,W,IShape,10.5,5.81,0.3,0.51,0.3,,,,,,,
W10X26,W,IShape,10.3,5.77,0.26,0.44,0.3,,,,,,,
W10X22,W,IShape,10.2,5.75,0.24,0.36,0.3,,,,,,,
W10X19,W,IShape,10.2,4.02,0.25,0.395,0.3,,,,,,,
W10X17,W,IShape,10.1,4.01,0.24,0.33,0.3,,,,,,,
W10X15,W,IShape,9.99,4.0,0.23,0.27,0.3,,,,,,,
W10X12,W,IShape,9.87,3.96,0.19,0.21,0.3,,,,,,,
W8X67,W,IShape,9.0,8.28,0.57,0.935,0.395,,,,,,,
W8X58,W,IShape,8.75,8.22,0.51,0.81,0.39,,,,,,,
W8X48,W,IShape,8.5,8.11,0.4,0.685,0.395,,,,,,,
W8X40,W,IShape,8.25,8.07,0.36,0.56,0.394,,,,,,,
W8X35,W,IShape,8.12,8.02,0.31,0.495,0.394,,,,,,,
W8X31,W,IShape,8.0,8.0,0.285,0.435,0.394,,,,,,,
W8X28,W,IShape,8.06,6.54,0.285,0.465,0.394,,,,,,,
W8X24,W,IShape,7.93,6.5,0.245,0.4,0.394,,,,,,,
W8X21,W,IShape,8.28,5.27,0.25,0.4,0.3,,,,,,,
W8X18,W,IShape,8.14,5.25,0.23,0.33,0.3,,,,,,,
W8X15,W,IShape,8.11,4.02,0.245,0.315,0.3,,,,,,,
W8X13,W,IShape,7.99,4.0,0.23,0.255,0.3,,,,,,,
W8X10,W,IShape,7.89,3.94,0.17,0.205,0.3,,,,,,,
W6X25,W,IShape,6.38,6.08,0.32,0.455,0.25,,,,,,,
W6X20,W,IShape,6.2,6.02,0.26,0.365,0.25,,,,,,,
W6X15,W,IShape,5.99,5.99,0.23,0.26,0.25,,,,,,,
W6X16,W,IShape,6.28,4.03,0.26,0.405,0.25,,,,,,,
W6X12,W,IShape,6.03,4.0,0.23,0.28,0.25,,,,,,,
W6X9,W,IShape,5.9,3.94,0.17,0.215,0.25,,,,,,,
W6X8.5,W,IShape,5.83,3.94,0.17,0.195,0.25,,,,,,,
W5X19,W,IShape,5.15,5.03,0.27,0.43,0.3,,,,,,,
W5X16,W,IShape,5.01,5.0,0.24,0.36,0.3,,,,,,,
W4X13,W,IShape,4.16,4.06,0.28,0.345,0.25,,,,,,,
M12.5X12.4,M,IShape,12.5,3.75,0.155,0.228,0.335,,,,,,,
M12.5X11.6,M,IShape,12.5,3.5,0.155,0.211,0.352,,,,,,,
M12X11.8,M,IShape,12.0,3.07,0.177,0.225,0.338,,,,,,,
M12X10.8,M,IShape,12.0,3.07,0.16,0.21,0.353,,,,,,,
M12X10,M,IShape,12.0,3.25,0.149,0.18,0.32,,,,,,,
M10X9,M,IShape,10.0,2.69,0.157,0.206,0.357,,,,,,,
M10X8,M,IShape,9.95,2.69,0.141,0.182,0.381,,,,,,,
M10X7.5,M,IShape,9.99,2.69,0.13,0.173,0.265,,,,,,,
M8X6.5,M,IShape,8.0,2.28,0.135,0.189,0.374,,,,,,,
M8X6.2,M,IShape,8.0,2.28,0.129,0.177,0.261,,,,,,,
M6X4.4,M,IShape,6.0,1.84,0.114,0.171,0.204,,,,,,,
M6X3.7,M,IShape,5.92,2.0,0.098,0.129,0.184,,,,,,,
M5X18.9,M,IShape,5.0,5.0,0.316,0.416,0.397,,,,,,,
M4X6,M,IShape,3.8,3.8,0.13,0.16,0.34,,,,,,,
M4X4.08,M,IShape,4.0,2.25,0.115,0.17,0.393,,,,,,,
M4X3.45,M,IShape,4.0,2.25,0.092,0.13,0.37,,,,,,,
M4X3.2,M,IShape,4.0,2.25,0.092,0.13,0.37,,,,,,,
M3X2.9,M,IShape,3.0,2.25,0.09,0.13,0.37,,,,,,,
S24X121,S,IShape,24.5,8.05,0.8,1.09,0.91,,,,,,,
S24X106,S,IShape,24.5,7.87,0.62,1.09,0.91,,,,,,,
S24X100,S,IShape,24.0,7.25,0.745,0.87,0.88,,,,,,,
S24X90,S,IShape,24.0,7.13,0.625,0.87,0.88,,,,,,,
S24X80,S,IShape,24.0,7.0,0.5,0.87,0.88,,,,,,,
S20X96,S,IShape,20.3,7.2,0.8,0.92,0.83,,,,,,,
S20X86,S,IShape,20.3,7.06,0.66,0.92,0.83,,,,,,,
S20X75,S,IShape,20.0,6.39,0.635,0.795,0.835,,,,,,,
S20X66,S,IShape,20.0,6.26,0.505,0.795,0.835,,,,,,,
S18X70,S,IShape,18.0,6.25,0.711,0.691,0.809,,,,,,,
S18X54.7,S,IShape,18.0,6.0,0.461,0.691,0.809,,,,,,,
S15X50,S,IShape,15.0,5.64,0.55,0.622,0.758,,,,,,,
S15X42.9,S,IShape,15.0,5.5,0.411,0.622,0.758,,,,,,,
S12X50,S,IShape,12.0,5.48,0.687,0.659,0.781,,,,,,,
S12X40.8,S,IShape,12.0,5.25,0.462,0.659,0.781,,,,,,,
S12X35,S,IShape,12.0,5.08,0.428,0.544,0.646,,,,,,,
S12X31.8,S,IShape,12.0,5.0,0.35,0.544,0.646,,,,,,,
S10X35,S,IShape,10.0,4.94,0.594,0.491,0.639,,,,,,,
S10X25.4,S,IShape,10.0,4.66,0.311,0.491,0.639,,,,,,,
S8X23,S,IShape,8.0,4.17,0.441,0.425,0.575,,,,,,,
S8X18.4,S,IShape,8.0,4.0,0.271,0.425,0.575,,,,,,,
S6X17.25,S,IShape,6.0,3.57,0.465,0.359,0.454,,,,,,,
S6X12.5,S,IShape,6.0,3.33,0.232,0.359,0.454,,,,,,,
S5X10,S,IShape,5.0,3.0,0.214,0.326,0.424,,,,,,,
S4X9.5,S,IShape,4.0,2.8,0.326,0.293,0.457,,,,,,,
S4X7.7,S,IShape,4.0,2.66,0.193,0.293,0.457,,,,,,,
S3X7.5,S,IShape,3.0,2.51,0.349,0.26,0.365,,,,,,,
S3X5.7,S,IShape,3.0,2.33,0.17,0.26,0.365,,,,,,,
HP18X204,HP,IShape,18.3,18.1,1.13,1.13,1.18,,,,,,,
HP18X181,HP,IShape,18.0,18.0,1.0,1.0,1.18,,,,,,,
HP18X157,HP,IShape,17.7,17.9,0.87,0.87,1.18,,,,,,,
HP18X135,HP,IShape,17.5,17.8,0.75,0.75,1.18,,,,,,,
HP16X183,HP,IShape,16.5,16.3,1.13,1.13,1.18,,,,,,,
HP16X162,HP,IShape,16.3,16.1,1.0,1.0,1.18,,,,,,,
HP16X141,HP,IShape,16.0,16.0,0.875,0.875,1.185,,,,,,,
HP16X121,HP,IShape,15.8,15.9,0.75,0.75,1.18,,,,,,,
HP16X101,HP,IShape,15.5,15.8,0.625,0.625,1.185,,,,,,,
HP16X88,HP,IShape,15.3,15.7,0.54,0.54,1.18,,,,,,,
HP14X117,HP,IShape,14.2,14.9,0.805,0.805,0.695,,,,,,,
HP14X102,HP,IShape,14.0,14.8,0.705,0.705,0.675,,,,,,,
HP14X89,HP,IShape,13.8,14.7,0.615,0.615,0.695,,,,,,,
HP14X73,HP,IShape,13.6,14.6,0.505,0.505,0.685,,,,,,,
HP12X89,HP,IShape,12.4,12.3,0.72,0.72,0.6,,,,,,,
HP12X84,HP,IShape,12.3,12.3,0.685,0.685,0.695,,,,,,,
HP12X74,HP,IShape,12.1,12.2,0.605,0.61,0.7,,,,,,,
HP12X63,HP,IShape,11.9,12.1,0.515,0.515,0.735,,,,,,,
HP12X53,HP,IShape,11.8,12.0,0.435,0.435,0.695,,,,,,,
HP10X57,HP,IShape,9.99,10.2,0.565,0.565,0.685,,,,,,,
HP10X42,HP,IShape,9.7,10.1,0.415,0.42,0.71,,,,,,,
HP8X36,HP,IShape,8.02,8.16,0.445,0.445,0.685,,,,,,,
C15X50,C,UShape,15.0,3.72,0.716,0.65,0.79,,,,,,,
C15X40,C,UShape,15.0,3.52,0.52,0.65,0.79,,,,,,,
C15X33.9,C,UShape,15.0,3.4,0.4,0.65,0.79,,,,,,,
C12X30,C,UShape,12.0,3.17,0.51,0.501,0.629,,,,,,,
C12X25,C,UShape,12.0,3.05,0.387,0.501,0.629,,,,,,,
C12X20.7,C,UShape,12.0,2.94,0.282,0.501,0.629,,,,,,,
C10X30,C,UShape,10.0,3.03,0.673,0.436,0.564,,,,,,,
C10X25,C,UShape,10.0,2.89,0.526,0.436,0.564,,,,,,,
C10X20,C,UShape,10.0,2.74,0.379,0.436,0.564,,,,,,,
C10X15.3,C,UShape,10.0,2.6,0.24,0.436,0.564,,,,,,,
C9X20,C,UShape,9.0,2.65,0.448,0.413,0.587,,,,,,,
C9X15,C,UShape,9.0,2.49,0.285,0.413,0.587,,,,,,,
